,movie id,movie title,Release Year,unknown,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,SimilarMovie,count
92,119,Maya Lin: A Strong Clear Vision,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,67
575,1072,"Pyromaniac's Love Story, A",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,66
88,113,"Horseman on the Roof, The (Hussard sur le toit, Le)",1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,67
7,9,Dead Man Walking,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9999999999999998,89
421,557,Farinelli: il castrato,1994,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.9819805060619659,70
541,854,Bad Taste,1987,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9468641529479986,66
412,534,Traveller,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9467292624062574,54
339,446,Burnt Offerings,1976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8660254037844387,121
577,1100,What Happened Was...,1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8528028654224417,74
562,958,To Live (Huozhe),1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8528028654224417,64
417,548,"NeverEnding Story III, The",1994,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8091547798786779,92
435,594,Heavy,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7559289460184545,64
305,394,Radioland Murders,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6933752452815363,56
102,130,Kansas City,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6839061884675603,95
285,344,"Apostle, The",1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6279174757129099,65
321,416,Old Yeller,1957,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6242356437186911,73
484,689,"Jackal, The",1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6145555885585705,155
563,968,"Inspector General, The",1949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6123724356957946,75
463,653,Touch of Evil,1958,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.6022213590550771,147
183,214,Pink Floyd - The Wall,1982,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.5874396515529844,212
457,646,Once Upon a Time in the West,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.571262658391602,70
386,503,"Candidate, The",1972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.570747858359858,122
488,698,"Browning Version, The",1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5345224838248487,102
286,345,Deconstructing Harry,1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.527147622004136,126
405,524,"Great Dictator, The",1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5140471049370251,73
268,320,Paradise Lost: The Child Murders at Robin Hood Hills,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5085774536813069,169
461,650,"Seventh Seal, The (Sjunde inseglet, Det)",1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5062150992232656,171
282,341,Critical Care,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,52
433,587,"Hour of the Pig, The",1993,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.49507377148833714,202
422,558,Heavenly Creatures,1994,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.491848802753297,137
366,481,"Apartment, The",1960,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4910830538826201,128
309,401,"Brady Bunch Movie, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488807653369944,170
347,460,"Crossing Guard, The",1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4837500754062026,74
83,101,Heavy Metal,1981,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.48303036707316255,54
464,654,Chinatown,1974,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.4826718456083356,227
149,180,Apocalypse Now,1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4719418530051885,507
578,1118,Up in Smoke,1978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4650818449190139,59
513,743,"Crow: City of Angels, The",1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.46225665750418465,92
514,745,"Ruling Class, The",1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46153846153846145,119
564,1008,I Shot Andy Warhol,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.45973107030614213,64
528,780,Dumb & Dumber,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4577506472502721,84
520,753,Burnt By the Sun,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4555734516094202,57
203,236,Citizen Ruth,1996,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.45242370040395175,384
416,545,Vampire in Brooklyn,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4472135954999579,254
552,918,City of Angels,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4472135954999579,96
132,163,"Return of the Pink Panther, The",1974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44459289543674835,151
431,581,Kalifornia,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4365622084876537,168
335,433,Heathers,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4314630264512155,67
257,304,Fly Away Home,1996,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4292087622962122,87
86,108,Kids in the Hall: Brain Candy,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42355673087820306,130
539,846,To Gillian on Her 37th Birthday,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.42274690344968263,55
550,885,Phantoms,1998,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.42257712736425823,53
521,754,Red Corner,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.4212741749264701,96
390,507,"Streetcar Named Desire, A",1951,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4206270969665264,215
266,317,In the Name of the Father,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.40967460063301736,298
110,139,"Love Bug, The",1969,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40599897147057507,61
491,706,Bad Moon,1996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.40451991747794525,70
68,86,"Remains of the Day, The",1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.40020317182438975,138
166,197,"Graduate, The",1967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.399293096510931,127
391,508,"People vs. Larry Flynt, The",1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3900616916406454,121
97,124,Lone Star,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.38807702285255113,244
296,379,Tales From the Crypt Presents: Demon Knight,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.38626965196845364,116
212,248,Grosse Pointe Blank,1997,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.38538085189606897,130
181,212,"Unbearable Lightness of Being, The",1988,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.38197071335377014,134
554,923,Raise the Red Lantern,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.38168119526881844,85
90,116,Cold Comfort Farm,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38036428876737,378
46,59,Three Colors: Red,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.37876883238105813,64
352,467,"Bronx Tale, A",1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3763696288709417,64
200,232,Young Guns,1988,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3759179940296742,124
12,14,"Postino, Il",1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3749689472969512,293
502,723,Boys on the Side,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3721740365924434,76
106,134,Citizen Kane,1941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.36578214282572674,259
100,127,"Godfather, The",1972,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.36375310565148933,65
455,639,"Tin Drum, The (Blechtrommel, Die)",1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.36329162224350997,82
310,402,Ghost,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.3627024334503809,201
397,514,Annie Hall,1977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3616173944515171,201
327,424,Children of the Corn: The Gathering,1996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3615933190191574,85
399,516,Local Hero,1983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3609755479113927,91
267,318,Schindler's List,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.3606166065684793,168
192,224,Ridicule,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3555795011093797,109
214,251,Shall We Dance?,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35432073472023734,158
5,7,Twelve Monkeys,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.3528846866351104,219
292,366,Dangerous Minds,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.35248038845079616,170
439,602,"American in Paris, An",1951,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.352353892304603,209
441,605,Meet Me in St. Louis,1944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.35000000000000003,66
123,154,Monty Python's Life of Brian,1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34992182029896335,98
278,332,Kiss the Girls,1997,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.3478309143184199,251
131,162,On Golden Pond,1981,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3478041718201262,92
388,505,Dial M for Murder,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3438426234609543,90
443,608,Spellbound,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3429692286801254,60
186,217,Bram Stoker's Dracula,1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.3410597845304423,171
492,707,Enchanted April,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33925732143633075,101
113,142,Bedknobs and Broomsticks,1971,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33775556607131685,222
276,330,187,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33752637027780724,113
281,339,Mad City,1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33489658155762525,189
37,49,I.Q.,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33477208640760536,583
401,518,Miller's Crossing,1990,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33344202845136534,80
396,513,"Third Man, The",1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3334230786505744,180
28,37,Nadja,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,120
453,632,Sophie's Choice,1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33324325031914487,69
35,47,Ed Wood,1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3300142653253792,117
36,48,Hoop Dreams,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32828217322954206,81
180,211,M*A*S*H,1970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.32678429971744233,92
112,141,"20,000 Leagues Under the Sea",1954,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.32464960352027744,57
41,53,Natural Born Killers,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3233696215879483,104
290,356,"Client, The",1994,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.3222838642177481,264
238,283,Emma,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3217615720845215,193
434,590,Hellraiser: Bloodline,1996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.32163376045133846,178
232,276,Leaving Las Vegas,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3209964081408655,71
233,277,Restoration,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.318485361313503,60
512,741,"Last Supper, The",1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.31817060539562975,267
376,491,"Adventures of Robin Hood, The",1938,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3173709594070137,59
518,749,"MatchMaker, The",1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.31518680652066455,124
505,731,"Corrina, Corrina",1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3148066118222031,180
311,403,Batman,1989,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.3138633626059054,101
394,511,Lawrence of Arabia,1962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.31369892147867023,57
210,244,Smilla's Sense of Snow,1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.3110537137854302,240
482,686,"Perfect World, A",1993,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3104781885404651,69
566,1011,2 Days in the Valley,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3102665824824381,100
63,80,Hot Shots! Part Deux,1993,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3086767025790309,110
350,464,Vanya on 42nd Street,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.305887645160749,85
139,170,Cinema Paradiso,1988,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.3055450427365204,65
55,68,"Crow, The",1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.30485057254600006,321
108,136,Mr. Smith Goes to Washington,1939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.30159890339892714,171
485,691,Dark City,1998,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.30151134457776363,164
373,488,Sunset Blvd.,1950,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.30034150978922264,52
241,286,"English Patient, The",1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.2999459450119102,78
291,357,One Flew Over the Cuckoo's Nest,1975,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.299661458601555,143
362,477,Matilda,1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2929301614330269,104
420,553,"Walk in the Clouds, A",1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2922514594898699,102
103,131,Breakfast at Tiffany's,1961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2922037915986711,246
157,188,Full Metal Jacket,1987,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2910115499791156,66
538,844,Freeway,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.29091082248664063,176
408,527,Gandhi,1982,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2903202032453274,121
445,614,Giant,1956,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2900793532942292,59
45,58,Quiz Show,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2886751345948131,83
178,209,This Is Spinal Tap,1984,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.28865623904939713,331
349,462,Like Water For Chocolate (Como agua para chocolate),1992,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.28809521494908236,71
11,13,Mighty Aphrodite,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28774410177752097,183
322,417,"Parent Trap, The",1961,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2877363511831756,129
184,215,Field of Dreams,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28761050098115243,290
468,659,Arsenic and Old Lace,1944,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.286480404141662,153
224,268,Chasing Amy,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.2861195938997705,315
250,297,Ulee's Gold,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28541516011321283,194
254,301,In & Out,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2850814270527631,297
330,428,Harold and Maude,1971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28343958747458226,97
452,631,"Crying Game, The",1992,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.28184978577417535,58
144,175,Brazil,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28087107964131347,284
460,649,Once Upon a Time in America,1984,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.28029711763071435,72
465,656,M,1931,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.2777910365438184,131
60,76,Carlito's Way,1993,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.2772289850453855,151
519,750,Amistad,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2742151313349823,180
231,275,Sense and Sensibility,1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.27205514978175865,298
64,81,"Hudsucker Proxy, The",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2712947065220114,261
199,231,Batman Returns,1992,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2696055862723058,101
337,435,Butch Cassidy and the Sundance Kid,1969,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2694757337424297,99
320,415,"Apple Dumpling Gang, The",1975,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26892643710023856,64
470,661,High Noon,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26827168499433,82
170,201,Evil Dead II,1987,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2672691807987602,280
371,486,Sabrina,1954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26480549695863986,68
75,93,Welcome to the Dollhouse,1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.264215210505088,137
493,708,"Sex, Lies, and Videotape",1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2631188200330502,104
172,203,Unforgiven,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2623052649071052,350
364,479,Vertigo,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2621314937656953,179
160,191,Amadeus,1984,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.2576084594344428,116
312,404,Pinocchio,1940,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2566001196398337,344
228,272,Good Will Hunting,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2527851929476584,223
190,221,Breaking the Waves,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25261788661725176,365
40,52,"Madness of King George, The",1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2525005215151157,128
176,207,Cyrano de Bergerac,1990,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.25208409978749247,200
59,72,"Mask, The",1994,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2513258429660023,128
531,805,Manhattan Murder Mystery,1993,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.251259453814803,50
454,635,"Fog, The",1980,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2502232475515557,91
156,187,"Godfather: Part II, The",1974,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.24984938691448846,170
57,70,Four Weddings and a Funeral,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.24640928521250713,220
413,537,My Own Private Idaho,1991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2450283944994902,66
458,647,Ran,1985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.24418274498250095,67
367,482,Some Like It Hot,1959,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.24169478204315373,243
389,506,Rebel Without a Cause,1955,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2406169983831742,98
459,648,"Quiet Man, The",1952,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.23943158841698758,50
20,24,Rumble in the Bronx,1995,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.23861811706222213,293
368,483,Casablanca,1942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.23751660336891703,138
430,580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.23746289932024542,59
525,767,"Addiction, The",1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.23544080467400555,52
378,493,"Thin Man, The",1934,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23541811049065015,56
560,945,Charade,1963,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.23242037511636277,61
209,242,Kolya,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2320062857546485,132
205,238,Raising Arizona,1987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23109916942433997,150
289,355,Sphere,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.23039085827211206,97
473,671,Bride of Frankenstein,1935,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2302677915253314,65
360,475,Trainspotting,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.22923324874257647,160
